#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,0,"{""name"":""rect"",""x"":1057,""y"":442,""width"":361,""height"":197}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,1,"{""name"":""rect"",""x"":2132,""y"":533,""width"":237,""height"":358}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,2,"{""name"":""rect"",""x"":1012,""y"":1107,""width"":202,""height"":381}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,3,"{""name"":""rect"",""x"":1801,""y"":1658,""width"":242,""height"":376}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,4,"{""name"":""rect"",""x"":1272,""y"":1904,""width"":354,""height"":273}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,5,"{""name"":""rect"",""x"":2155,""y"":2110,""width"":309,""height"":318}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,6,"{""name"":""rect"",""x"":2007,""y"":2692,""width"":345,""height"":332}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,7,"{""name"":""rect"",""x"":1299,""y"":2831,""width"":345,""height"":246}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,8,"{""name"":""rect"",""x"":1250,""y"":3208,""width"":134,""height"":372}","{""1"":""1""}"
IMG_0835.jpeg,2186635,"{""123"":""ad""}",10,9,"{""name"":""rect"",""x"":2271,""y"":3329,""width"":242,""height"":323}","{""1"":""1""}"
IMG_0839.jpeg,2156911,"{}",13,0,"{""name"":""rect"",""x"":1277,""y"":354,""width"":228,""height"":457}","{}"
IMG_0839.jpeg,2156911,"{}",13,1,"{""name"":""rect"",""x"":1604,""y"":726,""width"":215,""height"":390}","{}"
IMG_0839.jpeg,2156911,"{}",13,2,"{""name"":""rect"",""x"":1850,""y"":470,""width"":228,""height"":403}","{}"
IMG_0839.jpeg,2156911,"{}",13,3,"{""name"":""rect"",""x"":2173,""y"":802,""width"":340,""height"":161}","{}"
IMG_0839.jpeg,2156911,"{}",13,4,"{""name"":""rect"",""x"":1030,""y"":874,""width"":179,""height"":349}","{}"
IMG_0839.jpeg,2156911,"{}",13,5,"{""name"":""rect"",""x"":1891,""y"":1214,""width"":448,""height"":188}","{}"
IMG_0839.jpeg,2156911,"{}",13,6,"{""name"":""rect"",""x"":874,""y"":1765,""width"":376,""height"":309}","{}"
IMG_0839.jpeg,2156911,"{}",13,7,"{""name"":""rect"",""x"":1626,""y"":1752,""width"":291,""height"":452}","{}"
IMG_0839.jpeg,2156911,"{}",13,8,"{""name"":""rect"",""x"":1389,""y"":2684,""width"":332,""height"":206}","{}"
IMG_0839.jpeg,2156911,"{}",13,9,"{""name"":""rect"",""x"":1922,""y"":2433,""width"":349,""height"":197}","{}"
IMG_0839.jpeg,2156911,"{}",13,10,"{""name"":""rect"",""x"":2079,""y"":2724,""width"":372,""height"":278}","{}"
IMG_0839.jpeg,2156911,"{}",13,11,"{""name"":""rect"",""x"":1044,""y"":3279,""width"":340,""height"":188}","{}"
IMG_0839.jpeg,2156911,"{}",13,12,"{""name"":""rect"",""x"":1680,""y"":3306,""width"":381,""height"":305}","{}"
IMG_0838.jpeg,2227348,"{}",7,0,"{""name"":""rect"",""x"":1084,""y"":797,""width"":215,""height"":430}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,1,"{""name"":""rect"",""x"":1546,""y"":815,""width"":215,""height"":412}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,2,"{""name"":""rect"",""x"":1994,""y"":1236,""width"":220,""height"":385}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,3,"{""name"":""rect"",""x"":1232,""y"":1971,""width"":327,""height"":287}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,4,"{""name"":""rect"",""x"":1967,""y"":2007,""width"":193,""height"":381}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,5,"{""name"":""rect"",""x"":1160,""y"":2309,""width"":170,""height"":365}","{""1"":""2""}"
IMG_0838.jpeg,2227348,"{}",7,6,"{""name"":""rect"",""x"":2101,""y"":3288,""width"":181,""height"":358}","{""1"":""2""}"
IMG_0837.jpeg,2213129,"{}",7,0,"{""name"":""rect"",""x"":945,""y"":381,""width"":376,""height"":255}","{}"
IMG_0837.jpeg,2213129,"{}",7,1,"{""name"":""rect"",""x"":1429,""y"":345,""width"":188,""height"":426}","{}"
IMG_0837.jpeg,2213129,"{}",7,2,"{""name"":""rect"",""x"":1958,""y"":403,""width"":390,""height"":318}","{}"
IMG_0837.jpeg,2213129,"{}",7,3,"{""name"":""rect"",""x"":1089,""y"":1590,""width"":237,""height"":381}","{}"
IMG_0837.jpeg,2213129,"{}",7,4,"{""name"":""rect"",""x"":1985,""y"":2253,""width"":206,""height"":367}","{}"
IMG_0837.jpeg,2213129,"{}",7,5,"{""name"":""rect"",""x"":1680,""y"":3149,""width"":363,""height"":269}","{}"
IMG_0837.jpeg,2213129,"{}",7,6,"{""name"":""rect"",""x"":927,""y"":2701,""width"":278,""height"":363}","{}"
IMG_0836.jpeg,2213610,"{}",7,0,"{""name"":""rect"",""x"":1214,""y"":444,""width"":237,""height"":421}","{}"
IMG_0836.jpeg,2213610,"{}",7,1,"{""name"":""rect"",""x"":1841,""y"":1116,""width"":323,""height"":358}","{}"
IMG_0836.jpeg,2213610,"{}",7,2,"{""name"":""rect"",""x"":1245,""y"":1483,""width"":215,""height"":403}","{}"
IMG_0836.jpeg,2213610,"{}",7,3,"{""name"":""rect"",""x"":1926,""y"":2016,""width"":300,""height"":336}","{}"
IMG_0836.jpeg,2213610,"{}",7,4,"{""name"":""rect"",""x"":1868,""y"":2630,""width"":323,""height"":287}","{}"
IMG_0836.jpeg,2213610,"{}",7,5,"{""name"":""rect"",""x"":959,""y"":2625,""width"":381,""height"":188}","{}"
IMG_0836.jpeg,2213610,"{}",7,6,"{""name"":""rect"",""x"":1219,""y"":3320,""width"":399,""height"":269}","{}"
IMG_0834.jpeg,2180147,"{}",10,0,"{""name"":""rect"",""x"":1219,""y"":340,""width"":233,""height"":399}","{}"
IMG_0834.jpeg,2180147,"{}",10,1,"{""name"":""rect"",""x"":1823,""y"":452,""width"":372,""height"":300}","{}"
IMG_0834.jpeg,2180147,"{}",10,2,"{""name"":""rect"",""x"":941,""y"":968,""width"":184,""height"":385}","{}"
